Student_ID,Skill_ID
STU0001,SK001
STU0001,SK012
STU0001,SK011
STU0001,SK002
STU0001,SK008
STU0001,SK006
STU0002,SK004
STU0002,SK001
STU0002,SK014
STU0003,SK001
STU0003,SK012
STU0003,SK011
STU0003,SK008
STU0004,SK019
STU0004,SK001
STU0005,SK004
STU0005,SK001
STU0005,SK002
STU0005,SK014
STU0005,SK019
STU0006,SK001
STU0006,SK019
STU0006,SK002
STU0007,SK019
STU0007,SK001
STU0008,SK001
STU0008,SK019
STU0008,SK002
STU0008,SK014
STU0008,SK004
STU0009,SK001
STU0009,SK002
STU0009,SK011
STU0009,SK012
STU0009,SK010
STU0009,SK006
STU0010,SK001
STU0010,SK002
STU0010,SK003
STU0010,SK014
STU0010,SK019
STU0011,SK001
STU0011,SK012
STU0011,SK011
STU0011,SK006
STU0011,SK008
STU0012,SK004
STU0012,SK001
STU0012,SK014
STU0013,SK004
STU0013,SK001
STU0013,SK014
STU0013,SK019
STU0014,SK019
STU0014,SK020
STU0014,SK001
STU0015,SK019
STU0015,SK001
STU0015,SK020
STU0016,SK001
STU0016,SK019
STU0016,SK014
STU0016,SK002
STU0016,SK004
STU0017,SK001
STU0017,SK002
STU0017,SK011
STU0017,SK012
STU0017,SK010
STU0018,SK001
STU0018,SK002
STU0018,SK011
STU0018,SK012
STU0018,SK010
STU0018,SK008
STU0018,SK006
STU0019,SK001
STU0019,SK002
STU0019,SK003
STU0019,SK014
STU0019,SK006
STU0019,SK019
STU0019,SK008
STU0020,SK001
STU0020,SK002
STU0020,SK003
STU0020,SK014
STU0020,SK005
STU0020,SK017
STU0021,SK001
STU0021,SK002
STU0021,SK003
STU0021,SK014
STU0021,SK008
STU0022,SK001
STU0022,SK002
STU0022,SK003
STU0022,SK014
STU0022,SK017
STU0022,SK008
STU0023,SK001
STU0023,SK002
STU0023,SK011
STU0023,SK012
STU0023,SK007
STU0023,SK008
STU0024,SK001
STU0024,SK002
STU0024,SK011
STU0024,SK012
STU0024,SK007
STU0024,SK010
STU0025,SK004
STU0025,SK001
STU0025,SK019
STU0025,SK014
STU0026,SK004
STU0026,SK001
STU0026,SK019
STU0026,SK014
STU0026,SK002
STU0027,SK004
STU0027,SK001
STU0027,SK002
STU0028,SK001
STU0028,SK002
STU0028,SK003
STU0028,SK014
STU0028,SK008
STU0028,SK006
STU0029,SK004
STU0029,SK001
STU0029,SK002
STU0029,SK014
STU0029,SK019
STU0030,SK004
STU0030,SK001
STU0030,SK002
STU0031,SK001
STU0031,SK002
STU0031,SK003
STU0031,SK014
STU0031,SK008
STU0031,SK006
STU0032,SK001
STU0032,SK002
STU0032,SK011
STU0032,SK012
STU0032,SK010
STU0033,SK001
STU0033,SK002
STU0033,SK003
STU0033,SK014
STU0033,SK017
STU0034,SK019
STU0034,SK001
STU0034,SK020
STU0035,SK004
STU0035,SK001
STU0035,SK014
STU0035,SK019
STU0036,SK001
STU0036,SK002
STU0036,SK003
STU0036,SK014
STU0036,SK019
STU0036,SK008
STU0036,SK006
STU0037,SK001
STU0037,SK019
STU0037,SK014
STU0037,SK004
STU0037,SK002
STU0038,SK001
STU0038,SK012
STU0038,SK011
STU0038,SK008
STU0039,SK001
STU0039,SK012
STU0039,SK011
STU0039,SK002
STU0039,SK008
STU0040,SK001
STU0040,SK019
STU0040,SK002
STU0041,SK001
STU0041,SK002
STU0041,SK003
STU0041,SK014
STU0041,SK015
STU0041,SK008
STU0041,SK017
STU0042,SK001
STU0042,SK002
STU0042,SK003
STU0042,SK014
STU0042,SK006
STU0042,SK008
STU0042,SK019
STU0043,SK004
STU0043,SK001
STU0043,SK002
STU0043,SK019
STU0043,SK014
STU0044,SK004
